type, N, K, M, width, height, bare_access_cycles, total_cycles, percentage
COO, 16, 16, 32, 2, 2, 8948, 28716, 0.311
COO, 64, 64, 32, 2, 2, 139508, 451116, 0.309
CSC, 16, 16, 32, 2, 2, 10052, 30368, 0.331
CSC, 64, 64, 32, 2, 2, 138212, 462176, 0.299
CSR, 16, 16, 32, 2, 2, 10052, 30088, 0.334
CSR, 64, 64, 32, 2, 2, 138212, 457960, 0.302
ELLPACK, 16, 16, 32, 2, 2, 4372, 24584, 0.178
ELLPACK, 64, 64, 32, 2, 2, 138876, 450812, 0.308
GEMM, 16, 16, 32, 2, 2, 2156, 7888, 0.27
GEMM, 64, 64, 32, 2, 2, 39024, 355180, 0.11


